━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  🔄 스윙 트레이딩 스크리닝 보고서  (1085종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장     등급        손절        익절     RR        수량       종합         점수  종목
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
🟢🟢 강력진입      80      19,180   약세강세    B        16,601      24,338    2.0          77  🟢🟢 강력진입     73.9  컨텍 (451760.KQ)
   🟢 진입         65       4,845   강세추세    A         3,658       7,219    2.0         168     🟢 진입        78.2  에이치엠넥스 (036170.KQ)
   🟢 진입         65       7,650   강세추세    B         6,848       9,253    2.0         249     🟢 진입        70.2  DMS (068790.KQ)
   🟢 진입         65       2,910   약세강세    A         2,553       3,625    2.0         559     🟢 진입        67.8  심텍홀딩스 (036710.KQ)
   🟢 진입         65       4,070   약세강세    B         3,872       4,466    2.0         491     🟢 진입        66.1  시공테크 (020710.KQ)
   🟢 진입         65       3,815   약세추세    B         3,596       4,253    2.0         524     🟡 보류        66.1  코콤 (015710.KQ)
   🟢 진입         65       1,653   고변동성    A         1,526       1,908    2.0       1,209     🟡 보류        63.0  드림시큐리티 (203650.KQ)
   🟢 진입         65       3,975   고변동성    A         3,714       4,497    2.0         503     🟡 보류        61.0  제이엔케이글로벌 (126880.KQ)
   🟢 진입         55      29,650   약세강세    A        27,045      34,860    2.0          67     🟢 진입        68.5  켐트로닉스 (089010.KQ)
   🟢 진입         55       3,820   약세강세    B         3,284       4,891    2.0         373     🟢 진입        68.5  모베이스전자 (012860.KQ)
   🟢 진입         55       6,890   약세강세    A+        6,273       8,123    2.0         290     🟢 진입        68.0  특수건설 (026150.KQ)
   🟢 진입         55      29,550   약세강세    A        26,620      35,411    2.0          67     🟢 진입        64.0  GST (083450.KQ)
   🟢 진입         55      21,750   약세강세    A        19,369      26,513    2.0          83     🟢 진입        62.0  대동기어 (008830.KQ)
   🟢 진입         55       2,045   약세강세    B         1,847       2,441    2.0         977     🟢 진입        60.0  JW신약 (067290.KQ)
   🟢 진입         55      14,970   약세강세    C        14,333      16,244    2.0         133     🟡 보류        57.5  에스텍 (069510.KQ)
