━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  📐 포지션 트레이딩 스크리닝 보고서  (1122종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장        섹터     등급        손절        익절     RR        수량       종합         점수  종목
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
🟢🟢 강력진입      75         553   약한강세    강세섹터    B           511         638    2.0       3,614  🟢🟢 강력진입     69.3  RBC Bearings (RBC)
🟢🟢 강력진입      65          76   약한강세      중립      A            75          77    2.0      26,312  🟢🟢 강력진입     69.7  Hologic (HOLX)
🟢🟢 강력진입      65         327   약한강세    강세섹터    B           314         354    2.0       6,108  🟢🟢 강력진입     63.7  Chubb (CB)
   🟢 진입         55          39   약한강세      중립      C            36          44    2.0      51,853     🟡 보류        55.8  CareTrust REIT (CTRE)
   🟢 진입         55          31   약한강세    강세섹터    B            30          35    2.0      63,877     🟢 진입        55.4  COPT Defense Properties (CDP)
   🟢 진입         55         176   약세추세      중립      C           163         201    2.0      11,379   🟠 부분청산      50.3  MarketAxess (MKTX)
   🟢 진입         55          60   고변동성    부진섹터    F            54          73    2.0      31,496     🔴 청산        38.0  Block (XYZ)
   🟢 진입         50         375   약한강세    강세섹터    B           337         452    2.0       5,200     🟢 진입        64.4  Woodward (WWD)
   🟢 진입         50          81   약한강세    강세섹터    A            77          87    2.0      24,832   🟠 부분청산      63.3  Xcel Energy (XEL)
   🟢 진입         50          63   약한강세    강세섹터    A            60          68    2.0      31,903   🟠 부분청산      62.2  Dominion Energy (D)
   🟢 진입         50         190   약한강세      중립      B           180         209    2.0      10,542   🟠 부분청산      58.1  EastGroup Properties (EGP)
   🟢 진입         50         131   약한강세      중립      B           124         143    2.0      15,309     🟢 진입        52.2  American Financial (AFG)
   🟢 진입         50         256     횡보      약세섹터    F           242         285    2.0       7,799     🔴 청산        42.2  Primerica (PRI)
   🟢 진입         50          26     횡보      약세섹터    F            24          28    2.0      78,064   🟠 부분청산      36.5  Invitation Homes (INVH)
   🟢 진입         45         148   약한강세    강세섹터    A           143         160    2.0      13,488   🟠 부분청산      63.8  DTE Energy Company (DTE)
   🟢 진입         40         105   강세추세      중립      A           104         107    2.0      19,063     🟢 진입        67.0  Exact Sciences Corporation (EXAS)
   🟢 진입         40          61   약한강세    강세섹터    A            57          70    2.0      32,653     🟢 진입        65.5  Baker Hughes Company (BKR)
   🟢 진입         40          65   강세추세      중립      A            65          65    2.0      30,769     🟢 진입        65.5  Air Lease (AL)
   🟢 진입         40          66   약한강세    강세섹터    A            63          73    2.0      30,188   🟠 부분청산      64.6  Altria (MO)
   🟢 진입         40         344   약한강세    강세섹터    B           305         422    2.0       5,158     🟢 진입        62.9  Littelfuse (LFUS)
   🟢 진입         40          50   약한강세    강세섹터    A            46          60    2.0      39,721     🟢 진입        62.6  SLB (SLB)
   🟢 진입         40          23   강세추세    강세섹터    A            22          25    2.0      88,300     🟢 진입        62.3  Kimco Realty (KIM)
   🟢 진입         40         750   약한강세    강세섹터    B           676         899    2.0       2,665     🟢 진입        61.7  EMCOR (EME)
   🟢 진입         40          84   약한강세    강세섹터    B            80          91    2.0      23,912     🟢 진입        60.6  Ventas (VTR)
   🟢 진입         40          24   약한강세    약세섹터    B            23          25    2.0      83,612     🟢 진입        60.5  Clearwater Analytics (CWAN)
   🟢 진입         40          42   약한강세      중립      B            42          43    2.0      47,460     🟢 진입        60.1  Sealed Air (SEE)
   🟢 진입         40         119   약한강세    강세섹터    B           112         133    2.0      16,767     🟢 진입        59.5  Merck & (MRK)
   🟢 진입         40         202   약한강세    강세섹터    B           192         221    2.0       9,921     🟢 진입        59.5  Welltower (WELL)
   🟢 진입         40         147   약한강세    강세섹터    B           131         179    2.0      12,554     🟢 진입        59.4  ATI Inc. (ATI)
   🟢 진입         40          70   약한강세    강세섹터    A            67          75    2.0      28,665   🟠 부분청산      59.4  Webster Financial (WBS)
   🟢 진입         40         102   약한강세    약세섹터    B            92         122    2.0      19,559     🟢 진입        59.4  Nuvalent (NUVL)
   🟢 진입         40         117   약한강세    강세섹터    B           109         135    2.0      17,053   🟠 부분청산      59.3  Allison Transmission (ALSN)
   🟢 진입         40         499   약한강세    강세섹터    B           457         583    2.0       4,005     🟢 진입        58.8  Hubbell Inc (HUBB)
   🟢 진입         40         354   약한강세    강세섹터    B           331         399    2.0       5,649     🟢 진입        58.6  L3Harris (LHX)
   🟢 진입         40          99   약한강세    강세섹터    C            81         136    2.0      10,989     🟡 보류        58.2  TTM (TTMI)
   🟢 진입         40          24   약한강세      중립      B            24          24    2.0      83,333     🟢 진입        58.0  OneStream (OS)
   🟢 진입         40         174   약한강세    강세섹터    B           151         218    2.0       9,025     🟢 진입        57.7  Albemarle (ALB)
   🟢 진입         40         233   약한강세    강세섹터    B           223         255    2.0       8,572     🟢 진입        57.6  Waste Management (WM)
   🟢 진입         40          18   약한강세      중립      B            17          20    2.0     113,122     🟢 진입        57.6  Healthcare Realty Trust Incorpo (HR)
   🟢 진입         40         176   약한강세      중립      B           167         193    2.0      11,390     🟢 진입        57.5  The Hanover Insurance (THG)
   🟢 진입         40          97   약한강세      중립      B            93         105    2.0      20,635     🟢 진입        57.4  Arch Capital (ACGL)
   🟢 진입         40         204   약한강세      중립      B           202         209    2.0       9,806     🟢 진입        57.0  Electronic Arts (EA)
   🟢 진입         40          42   약한강세      중립      B            40          46    2.0      47,869     🟢 진입        56.4  Enact (ACT)
   🟢 진입         40          59   약한강세      중립      B            58          61    2.0      33,823     🟢 진입        56.2  TXNM Energy (TXNM)
   🟢 진입         40          17   약한강세    약세섹터    B            17          18    2.0     115,273     🟢 진입        54.8  Global X NASDAQ 100 Covered Cal (QYLD)
   🟢 진입         40         207   강세추세      중립      B           206         210    2.0       9,645     🟢 진입        53.7  Chart Industries (GTLS)
   🟢 진입         40          72   약한강세    약세섹터    C            65          86    2.0      27,804     🟡 보류        49.2  BridgeBio Pharma (BBIO)
   🟢 진입         40          83   약한강세    약세섹터    C            77          95    2.0      23,983     🟡 보류        48.5  Boyd Gaming (BYD)
   🟢 진입         40          24   약한강세      중립      B            23          27    2.0      82,610     🟢 진입        46.1  Central Bancompany (CBC)
   🟢 진입         40          40   약한강세    약세섹터    B            39          44    2.0      49,394   🟠 부분청산      45.5  Old Republic (ORI)
   🟢 진입         40         224     횡보      강세섹터    C           203         266    2.0       8,936     🔴 청산        43.5  Charter Communications (CHTR)
   🟢 진입         40         158   고변동성    약세섹터    F           139         195    2.0      10,729     🟡 보류        43.4  WEX (WEX)
   🟢 진입         40          86     횡보      부진섹터    F            81          97    2.0      23,148   🟠 부분청산      40.8  Nasdaq (NDAQ)
   🟢 진입         40          64     횡보      약세섹터    F            59          75    2.0      31,240   🟠 부분청산      39.2  Best Buy (BBY)
   🟢 진입         40          24     횡보      약세섹터    F            22          27    2.0      84,388     🔴 청산        38.2  Blackstone Secured Lending Fund (BXSL)
   🟢 진입         40          52     횡보      강세섹터    F            48          61    2.0      38,446     🔴 청산        37.5  Liberty Broadband (LBRDA)
   🟢 진입         40          19     횡보      부진섹터    F            17          23    2.0     104,220     🔴 청산        36.8  Coupang (CPNG)
   🟢 진입         40          28     횡보      약세섹터    F            27          32    2.0      70,274   🟠 부분청산      34.0  JD.com (JD)
   🟡 보류         35         311   약한강세    강세섹터    A           295         341    2.0       6,439     🟡 보류        63.8  CME (CME)
   🟡 보류         35          17   약한강세    강세섹터    B            13          23    2.0      60,975     🟡 보류        62.8  TeraWulf (WULF)
